ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_POWER,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,VEHICLE_COLOUR_2,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC
T20120000146,A,1995,1,S,1,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,M,4,6,5,1500,4,,,S,1,18,H,MRN,ZZ,2,2,2,4,1,0,No control
T20120000147,A,2011,1,SW,1,Paved,V,SEDAN,HONDA,ACCORD,,1,Car,,R,P,4,4,5,1565,1,,,W,2,2,H,GLD,ZZ,2,F,2,4,1,0,No control
T20120000147,B,2010,2,NE,1,Paved,V,SEDAN,HONDA,JAZZ,,1,Car,,R,P,4,4,5,1110,2,,,NE,1,1,H,YLW,ZZ,2,F,2,3,1,0,No control
T20120000148,A,2003,1,SW,3,Gravel,V,SEDAN,DAIHAT,SIRION,,1,Car,,R,P,4,4,5,825,2,,,SW,1,1,H,SIL,ZZ,2,5,0,4,1,0,No control
T20120000152,A,2004,1,E,1,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4,6,5,1502,2,,3600,E,1,18,H,BLU,ZZ,2,8,2,3,1,0,No control
T20120000155,A,1997,1,S,1,Paved,V,SEDAN,TOYOTA,VIENTA,,1,Car,,R,P,4,6,5,1400,1,,,NK,1,18,H,GRN,ZZ,2,F,2,5,1,0,No control
T20120000165,A,2008,1,S,1,Paved,V,SEDAN,HOLDEN,ASTRA,,1,Car,,R,P,4,4,5,1100,2,,,S,1,1,H,GLD,ZZ,2,2,2,4,1,9,Roundabout
T20120000165,B,2010,2,E,1,Paved,V,CYCLE,H DAV,XL1200,,10,Motor Cycle,,,Z,,2,,0,1,,,E,1,1,H,BLK,ZZ,2,F,1,3,1,9,Roundabout
T20120000167,A,1998,1,W,1,Paved,V,SEDAN,FORD,FALCON,,1,Car,,R,P,4,6,5,1400,2,,,W,1,18,H,RED,ZZ,2,F,2,4,1,0,No control
T20120000167,B,2001,2,E,1,Paved,V,WAGON,NISSAN,PATROL,,2,Station Wagon,,R,D,4,4,7,2385,2,,,E,1,1,H,GRY,ZZ,2,F,2,4,1,0,No control
